Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Detroit Pistons,2015/16,0.537,74.6,70.1,144.7,22.0,10.0,21.0,527.0,531.0,1058.0,16.0,14.0,19.0
Dallas Mavericks,2015/16,0.512,72.6,73.4,146.0,25.0,4.0,17.0,536.0,535.0,1071.0,12.0,11.0,16.0
Chicago Bulls,2015/16,0.512,83.0,59.0,142.0,12.0,27.0,24.0,535.0,537.0,1072.0,13.0,9.0,15.0
Memphis Grizzlies,2015/16,0.512,80.0,70.4,150.4,17.0,9.0,7.0,537.0,542.0,1079.0,11.0,8.0,13.0
Houston Rockets,2015/16,0.5,80.0,65.5,145.5,17.0,17.0,19.0,539.0,548.0,1087.0,9.0,5.0,9.0
Washington Wizards,2015/16,0.5,74.3,75.7,150.0,23.0,3.0,9.0,528.0,533.0,1061.0,15.0,12.0,18.0
Utah Jazz,2015/16,0.488,85.9,59.3,145.2,7.0,25.0,20.0,514.0,530.0,1044.0,23.0,15.0,23.0
Orlando Magic,2015/16,0.427,83.30000000000001,65.6,148.9,10.0,16.0,12.0,534.0,535.0,1069.0,14.0,11.0,17.0
Sacramento Kings,2015/16,0.402,85.8,63.1,148.9,8.0,22.0,12.0,538.0,546.0,1084.0,10.0,6.0,11.0
Denver Nuggets,2015/16,0.402,79.1,66.5,145.6,18.0,14.0,18.0,544.0,548.0,1092.0,5.0,5.0,7.0
Milwaukee Bucks,2015/16,0.402,86.1,60.3,146.39999999999998,6.0,24.0,16.0,540.0,546.0,1086.0,8.0,6.0,10.0
New York Knicks,2015/16,0.39,78.2,62.2,140.4,20.0,23.0,25.0,537.0,544.0,1081.0,11.0,7.0,12.0
New Orleans Pelicans,2015/16,0.366,78.9,63.8,142.7,19.0,21.0,23.0,547.0,548.0,1095.0,4.0,5.0,5.0
Minnesota Timberwolves,2015/16,0.354,88.0,55.8,143.8,5.0,29.0,22.0,544.0,562.0,1106.0,5.0,2.0,4.0
Phoenix Suns,2015/16,0.28,66.0,67.3,133.3,27.0,13.0,29.0,549.0,542.0,1091.0,3.0,8.0,8.0
Brooklyn Nets,2015/16,0.256,73.9,64.3,138.2,24.0,20.0,26.0,555.0,554.0,1109.0,2.0,3.0,3.0
Los Angeles Lakers,2015/16,0.207,70.3,65.2,135.5,26.0,18.0,27.0,558.0,562.0,1120.0,1.0,2.0,2.0
Philadelphia 76ers,2015/16,0.122,62.3,71.1,133.39999999999998,28.0,6.0,28.0,543.0,550.0,1093.0,6.0,4.0,6.0
Golden State Warriors,2014/15,0.8170000000000001,90.9,81.30000000000001,172.20000000000002,5.0,3.0,1.0,509.0,507.0,1016.0,22.0,25.0,30.0
Atlanta Hawks,2014/15,0.732,92.7,63.8,156.5,3.0,21.0,10.0,515.0,520.0,1035.0,20.0,18.0,24.0
Los Angeles Clippers,2014/15,0.6829999999999999,97.3,58.3,155.6,1.0,29.0,12.0,527.0,531.0,1058.0,12.0,10.0,16.0
Houston Rockets,2014/15,0.6829999999999999,76.5,77.8,154.3,24.0,8.0,13.0,523.0,509.0,1032.0,14.0,23.0,25.0
San Antonio Spurs,2014/15,0.6709999999999999,89.7,78.9,168.60000000000002,6.0,6.0,2.0,505.0,516.0,1021.0,23.0,20.0,28.0
Memphis Grizzlies,2014/15,0.6709999999999999,85.9,65.7,151.60000000000002,9.0,18.0,17.0,509.0,511.0,1020.0,22.0,22.0,29.0
Cleveland Cavaliers,2014/15,0.6459999999999999,96.3,61.5,157.8,2.0,26.0,7.0,531.0,533.0,1064.0,10.0,8.0,13.0
Portland Trail Blazers,2014/15,0.622,88.9,62.9,151.8,7.0,22.0,16.0,519.0,523.0,1042.0,17.0,15.0,22.0
Dallas Mavericks,2014/15,0.61,86.9,70.6,157.5,8.0,14.0,8.0,533.0,532.0,1065.0,9.0,9.0,12.0
Chicago Bulls,2014/15,0.61,85.3,66.9,152.2,10.0,17.0,14.0,520.0,528.0,1048.0,16.0,12.0,19.0
Toronto Raptors,2014/15,0.598,83.1,79.1,162.2,12.0,5.0,5.0,539.0,537.0,1076.0,7.0,7.0,8.0
Washington Wizards,2014/15,0.561,81.6,62.8,144.39999999999998,16.0,23.0,25.0,513.0,516.0,1029.0,21.0,20.0,27.0
Oklahoma City Thunder,2014/15,0.5489999999999999,84.7,70.9,155.60000000000002,11.0,13.0,11.0,527.0,525.0,1052.0,12.0,14.0,17.0
New Orleans Pelicans,2014/15,0.5489999999999999,92.3,69.8,162.1,4.0,15.0,6.0,533.0,540.0,1073.0,9.0,6.0,10.0
Milwaukee Bucks,2014/15,0.5,82.9,84.1,167.0,14.0,2.0,4.0,616.0,508.0,1124.0,1.0,24.0,3.0
Boston Celtics,2014/15,0.488,70.5,77.9,148.4,27.0,7.0,21.0,526.0,517.0,1043.0,13.0,19.0,21.0
Phoenix Suns,2014/15,0.476,77.1,79.5,156.6,23.0,4.0,9.0,533.0,527.0,1060.0,9.0,13.0,15.0
Utah Jazz,2014/15,0.4629999999999999,81.9,62.6,144.5,15.0,24.0,24.0,522.0,525.0,1047.0,15.0,14.0,20.0
Indiana Pacers,2014/15,0.4629999999999999,71.1,77.6,148.7,26.0,9.0,19.0,517.0,514.0,1031.0,18.0,21.0,26.0
Brooklyn Nets,2014/15,0.4629999999999999,78.7,71.2,149.9,18.0,12.0,18.0,544.0,525.0,1069.0,5.0,14.0,11.0
Miami Heat,2014/15,0.451,78.3,73.7,152.0,20.0,11.0,15.0,539.0,522.0,1061.0,7.0,16.0,14.0
Charlotte Hornets,2014/15,0.402,77.4,59.7,137.10000000000002,21.0,28.0,29.0,516.0,521.0,1037.0,19.0,17.0,23.0
Detroit Pistons,2014/15,0.39,77.19999999999999,90.8,168.0,22.0,1.0,3.0,530.0,648.0,1178.0,11.0,1.0,1.0
Denver Nuggets,2014/15,0.366,78.6,65.4,144.0,19.0,20.0,26.0,547.0,530.0,1077.0,4.0,11.0,7.0
Sacramento Kings,2014/15,0.354,83.0,62.1,145.1,13.0,25.0,22.0,541.0,557.0,1098.0,6.0,4.0,6.0
Orlando Magic,2014/15,0.305,77.4,59.8,137.20000000000002,21.0,27.0,28.0,537.0,537.0,1074.0,8.0,7.0,9.0
Los Angeles Lakers,2014/15,0.256,79.3,65.6,144.89999999999998,17.0,19.0,23.0,547.0,558.0,1105.0,4.0,3.0,4.0
Philadelphia 76ers,2014/15,0.22,65.7,56.6,122.3,29.0,30.0,30.0,522.0,528.0,1050.0,15.0,12.0,18.0
New York Knicks,2014/15,0.207,68.8,69.4,138.2,28.0,16.0,27.0,556.0,544.0,1100.0,3.0,5.0,5.0
Minnesota Timberwolves,2014/15,0.195,74.1,74.5,148.6,25.0,10.0,20.0,562.0,566.0,1128.0,2.0,2.0,2.0
San Antonio Spurs,2013/14,0.7559999999999999,88.69999999999999,80.2,168.89999999999998,5.0,3.0,3.0,512.0,513.0,1025.0,23.0,20.0,27.0
Oklahoma City Thunder,2013/14,0.72,88.60000000000001,64.1,152.7,6.0,20.0,11.0,521.0,520.0,1041.0,20.0,19.0,24.0
Los Angeles Clippers,2013/14,0.695,101.5,56.5,158.0,1.0,29.0,5.0,520.0,537.0,1057.0,21.0,10.0,21.0
Indiana Pacers,2013/14,0.6829999999999999,79.2,56.6,135.8,16.0,28.0,28.0,497.0,500.0,997.0,24.0,23.0,29.0
Houston Rockets,2013/14,0.659,94.1,59.3,153.4,2.0,24.0,8.0,530.0,531.0,1061.0,17.0,13.0,19.0
Miami Heat,2013/14,0.659,83.9,76.7,160.60000000000002,10.0,6.0,4.0,532.0,527.0,1059.0,16.0,15.0,20.0
Portland Trail Blazers,2013/14,0.659,89.6,58.1,147.7,4.0,25.0,16.0,537.0,537.0,1074.0,13.0,10.0,14.0
Golden State Warriors,2013/14,0.622,81.0,72.1,153.1,14.0,8.0,10.0,521.0,506.0,1027.0,20.0,22.0,26.0
Memphis Grizzlies,2013/14,0.61,77.2,92.3,169.5,20.0,1.0,1.0,530.0,617.0,1147.0,17.0,1.0,1.0
Dallas Mavericks,2013/14,0.598,85.2,84.1,169.3,8.0,2.0,2.0,547.0,536.0,1083.0,7.0,11.0,11.0
Phoenix Suns,2013/14,0.585,82.8,71.0,153.8,11.0,10.0,7.0,536.0,531.0,1067.0,14.0,13.0,17.0
Toronto Raptors,2013/14,0.585,82.0,66.89999999999999,148.89999999999998,13.0,15.0,14.0,528.0,525.0,1053.0,18.0,17.0,22.0
Chicago Bulls,2013/14,0.585,76.5,62.7,139.2,21.0,22.0,25.0,496.0,510.0,1006.0,25.0,21.0,28.0
Washington Wizards,2013/14,0.537,78.7,61.6,140.3,17.0,23.0,23.0,526.0,523.0,1049.0,19.0,18.0,23.0
Brooklyn Nets,2013/14,0.537,73.9,77.8,151.7,23.0,4.0,12.0,546.0,526.0,1072.0,8.0,16.0,15.0
Charlotte Bobcats,2013/14,0.524,78.4,64.2,142.60000000000002,18.0,19.0,20.0,519.0,520.0,1039.0,22.0,19.0,25.0
Minnesota Timberwolves,2013/14,0.488,92.0,57.9,149.9,3.0,27.0,13.0,532.0,533.0,1065.0,16.0,12.0,18.0
Atlanta Hawks,2013/14,0.4629999999999999,77.5,77.2,154.7,19.0,5.0,6.0,534.0,531.0,1065.0,15.0,13.0,18.0
New York Knicks,2013/14,0.451,73.6,74.9,148.5,24.0,7.0,15.0,552.0,542.0,1094.0,4.0,8.0,8.0
Denver Nuggets,2013/14,0.439,80.7,64.9,145.60000000000002,15.0,16.0,18.0,543.0,545.0,1088.0,9.0,7.0,10.0
New Orleans Pelicans,2013/14,0.415,86.4,66.9,153.3,7.0,14.0,9.0,549.0,550.0,1099.0,6.0,6.0,7.0
Cleveland Cavaliers,2013/14,0.402,77.5,64.7,142.2,19.0,17.0,21.0,539.0,542.0,1081.0,12.0,8.0,12.0
Detroit Pistons,2013/14,0.354,82.2,64.6,146.8,12.0,18.0,17.0,546.0,555.0,1101.0,8.0,4.0,6.0
Sacramento Kings,2013/14,0.341,85.0,51.3,136.3,9.0,30.0,27.0,541.0,550.0,1091.0,11.0,6.0,9.0
Los Angeles Lakers,2013/14,0.3289999999999999,73.6,71.3,144.89999999999998,24.0,9.0,19.0,558.0,552.0,1110.0,2.0,5.0,4.0
Boston Celtics,2013/14,0.305,67.19999999999999,70.4,137.6,28.0,11.0,26.0,539.0,538.0,1077.0,12.0,9.0,13.0
Utah Jazz,2013/14,0.305,75.4,58.1,133.5,22.0,26.0,29.0,560.0,560.0,1120.0,1.0,3.0,3.0
Orlando Magic,2013/14,0.28,71.8,70.0,141.8,25.0,12.0,22.0,542.0,528.0,1070.0,10.0,14.0,16.0
Philadelphia 76ers,2013/14,0.2319999999999999,69.1,62.8,131.89999999999998,27.0,21.0,30.0,550.0,552.0,1102.0,5.0,5.0,5.0
Milwaukee Bucks,2013/14,0.183,71.5,68.3,139.8,26.0,13.0,24.0,556.0,566.0,1122.0,3.0,2.0,2.0
Miami Heat,2012/13,0.805,103.6,53.1,156.7,1.0,28.0,5.0,518.0,527.0,1045.0,19.0,16.0,17.0
Oklahoma City Thunder,2012/13,0.732,100.4,55.1,155.5,2.0,26.0,6.0,514.0,518.0,1032.0,22.0,20.0,21.0
San Antonio Spurs,2012/13,0.7070000000000001,96.6,61.5,158.1,4.0,19.0,3.0,502.0,514.0,1016.0,24.0,23.0,23.0
Denver Nuggets,2012/13,0.695,84.0,83.0,167.0,10.0,1.0,1.0,532.0,523.0,1055.0,11.0,17.0,14.0
Los Angeles Clippers,2012/13,0.6829999999999999,98.3,62.0,160.3,3.0,18.0,2.0,516.0,518.0,1034.0,20.0,20.0,19.0
Memphis Grizzlies,2012/13,0.6829999999999999,82.4,56.9,139.3,16.0,25.0,25.0,498.0,515.0,1013.0,25.0,22.0,24.0
New York Knicks,2012/13,0.659,90.0,63.0,153.0,5.0,15.0,9.0,529.0,537.0,1066.0,14.0,10.0,10.0
Indiana Pacers,2012/13,0.605,82.60000000000001,54.3,136.9,15.0,27.0,28.0,496.0,508.0,1004.0,26.0,24.0,25.0
Brooklyn Nets,2012/13,0.598,83.5,69.6,153.1,11.0,9.0,8.0,529.0,530.0,1059.0,14.0,14.0,12.0
Golden State Warriors,2012/13,0.573,80.1,58.0,138.1,19.0,23.0,26.0,533.0,517.0,1050.0,10.0,21.0,15.0
Houston Rockets,2012/13,0.5489999999999999,81.4,71.4,152.8,17.0,7.0,10.0,531.0,535.0,1066.0,12.0,11.0,10.0
Los Angeles Lakers,2012/13,0.5489999999999999,83.0,63.4,146.4,12.0,14.0,13.0,528.0,544.0,1072.0,15.0,6.0,9.0
Chicago Bulls,2012/13,0.5489999999999999,82.9,57.0,139.9,13.0,24.0,23.0,513.0,520.0,1033.0,23.0,19.0,20.0
Atlanta Hawks,2012/13,0.537,82.8,61.2,144.0,14.0,20.0,18.0,520.0,527.0,1047.0,18.0,16.0,16.0
Utah Jazz,2012/13,0.524,86.7,62.9,149.6,7.0,16.0,12.0,530.0,542.0,1072.0,13.0,7.0,9.0
Boston Celtics,2012/13,0.506,78.4,67.4,145.8,22.0,10.0,16.0,516.0,515.0,1031.0,20.0,22.0,22.0
Dallas Mavericks,2012/13,0.5,85.80000000000001,72.2,158.0,9.0,5.0,4.0,534.0,528.0,1062.0,9.0,15.0,11.0
Milwaukee Bucks,2012/13,0.4629999999999999,82.9,60.4,143.3,13.0,21.0,19.0,523.0,532.0,1055.0,17.0,13.0,14.0
Toronto Raptors,2012/13,0.415,77.7,75.60000000000001,153.3,23.0,3.0,7.0,536.0,538.0,1074.0,8.0,9.0,8.0
Philadelphia 76ers,2012/13,0.415,79.0,58.0,137.0,20.0,23.0,27.0,525.0,537.0,1062.0,16.0,10.0,11.0
Portland Trail Blazers,2012/13,0.402,86.3,48.2,134.5,8.0,29.0,30.0,545.0,552.0,1097.0,4.0,3.0,4.0
Minnesota Timberwolves,2012/13,0.3779999999999999,78.6,63.6,142.2,21.0,12.0,20.0,528.0,528.0,1056.0,15.0,15.0,13.0
Washington Wizards,2012/13,0.354,70.60000000000001,70.7,141.3,27.0,8.0,21.0,515.0,521.0,1036.0,21.0,18.0,18.0
Detroit Pistons,2012/13,0.354,65.8,80.4,146.2,29.0,2.0,14.0,544.0,534.0,1078.0,5.0,12.0,7.0
Sacramento Kings,2012/13,0.341,80.6,63.9,144.5,18.0,11.0,17.0,558.0,562.0,1120.0,1.0,1.0,1.0
New Orleans Hornets,2012/13,0.3289999999999999,88.7,62.7,151.4,6.0,17.0,11.0,543.0,560.0,1103.0,6.0,2.0,3.0
Phoenix Suns,2012/13,0.305,76.1,63.5,139.6,25.0,13.0,24.0,541.0,539.0,1080.0,7.0,8.0,6.0
Cleveland Cavaliers,2012/13,0.293,72.7,73.2,145.9,26.0,4.0,15.0,549.0,548.0,1097.0,3.0,4.0,4.0
Charlotte Bobcats,2012/13,0.256,77.0,58.8,135.8,24.0,22.0,29.0,557.0,562.0,1119.0,2.0,1.0,2.0
Orlando Magic,2012/13,0.244,68.4,71.6,140.0,28.0,6.0,22.0,545.0,546.0,1091.0,4.0,5.0,5.0
Chicago Bulls,2011/12,0.758,79.3,82.9,162.2,19.0,1.0,3.0,491.0,492.0,983.0,27.0,22.0,27.0
San Antonio Spurs,2011/12,0.758,94.2,82.9,177.10000000000002,3.0,1.0,1.0,511.0,525.0,1036.0,20.0,11.0,17.0
Oklahoma City Thunder,2011/12,0.7120000000000001,97.9,51.3,149.2,2.0,24.0,12.0,512.0,523.0,1035.0,19.0,12.0,18.0
Miami Heat,2011/12,0.6970000000000001,99.8,49.0,148.8,1.0,28.0,13.0,496.0,513.0,1009.0,24.0,18.0,24.0
Indiana Pacers,2011/12,0.636,85.80000000000001,63.7,149.5,11.0,13.0,10.0,514.0,520.0,1034.0,18.0,15.0,19.0
Memphis Grizzlies,2011/12,0.621,83.4,60.7,144.10000000000002,14.0,19.0,19.0,506.0,516.0,1022.0,21.0,17.0,21.0
Los Angeles Lakers,2011/12,0.621,91.7,54.5,146.2,6.0,22.0,16.0,517.0,531.0,1048.0,16.0,9.0,13.0
Los Angeles Clippers,2011/12,0.606,92.0,60.1,152.1,5.0,21.0,8.0,527.0,534.0,1061.0,12.0,8.0,10.0
Atlanta Hawks,2011/12,0.606,85.1,62.7,147.8,13.0,15.0,15.0,503.0,510.0,1013.0,23.0,19.0,23.0
Boston Celtics,2011/12,0.591,86.4,49.7,136.10000000000002,9.0,27.0,27.0,492.0,492.0,984.0,26.0,22.0,26.0
Denver Nuggets,2011/12,0.5760000000000001,80.7,82.9,163.60000000000002,17.0,1.0,2.0,539.0,521.0,1060.0,6.0,14.0,11.0
Orlando Magic,2011/12,0.561,86.8,51.7,138.5,8.0,23.0,25.0,523.0,521.0,1044.0,14.0,14.0,15.0
New York Knicks,2011/12,0.545,80.3,69.0,149.3,18.0,6.0,11.0,505.0,509.0,1014.0,22.0,20.0,22.0
Dallas Mavericks,2011/12,0.545,79.1,66.2,145.3,20.0,12.0,18.0,515.0,509.0,1024.0,17.0,20.0,20.0
Utah Jazz,2011/12,0.545,93.2,60.9,154.1,4.0,18.0,6.0,526.0,535.0,1061.0,13.0,7.0,10.0
Philadelphia 76ers,2011/12,0.53,81.8,76.8,158.6,16.0,3.0,5.0,494.0,497.0,991.0,25.0,21.0,25.0
Houston Rockets,2011/12,0.515,78.1,74.9,153.0,22.0,5.0,7.0,529.0,525.0,1054.0,11.0,11.0,12.0
Phoenix Suns,2011/12,0.5,85.4,75.1,160.5,12.0,4.0,4.0,534.0,639.0,1173.0,9.0,1.0,1.0
Milwaukee Bucks,2011/12,0.47,86.0,62.3,148.3,10.0,17.0,14.0,526.0,535.0,1061.0,13.0,7.0,10.0
Portland Trail Blazers,2011/12,0.424,83.2,67.5,150.7,15.0,10.0,9.0,539.0,522.0,1061.0,6.0,13.0,10.0
Minnesota Timberwolves,2011/12,0.3939999999999999,74.5,68.7,143.2,25.0,8.0,20.0,530.0,541.0,1071.0,10.0,6.0,7.0
Detroit Pistons,2011/12,0.379,78.3,49.9,128.2,21.0,26.0,28.0,535.0,527.0,1062.0,8.0,10.0,9.0
Golden State Warriors,2011/12,0.348,83.4,62.5,145.9,14.0,16.0,17.0,550.0,541.0,1091.0,2.0,6.0,5.0
Toronto Raptors,2011/12,0.348,72.6,68.9,141.5,26.0,7.0,22.0,519.0,523.0,1042.0,15.0,12.0,16.0
Sacramento Kings,2011/12,0.3329999999999999,89.5,51.2,140.7,7.0,25.0,23.0,549.0,553.0,1102.0,3.0,3.0,3.0
New Jersey Nets,2011/12,0.3329999999999999,76.1,62.8,138.89999999999998,23.0,14.0,24.0,547.0,549.0,1096.0,4.0,4.0,4.0
New Orleans Hornets,2011/12,0.318,69.9,80.8,150.7,28.0,2.0,9.0,529.0,518.0,1047.0,11.0,16.0,14.0
Cleveland Cavaliers,2011/12,0.318,75.2,66.5,141.7,24.0,11.0,21.0,544.0,542.0,1086.0,5.0,5.0,6.0
Washington Wizards,2011/12,0.303,70.1,68.10000000000001,138.2,27.0,9.0,26.0,537.0,527.0,1064.0,7.0,10.0,8.0
Charlotte Bobcats,2011/12,0.106,67.2,60.4,127.6,29.0,20.0,29.0,551.0,554.0,1105.0,1.0,2.0,2.0
Chicago Bulls,2010/11,0.7559999999999999,85.9,63.6,149.5,9.0,15.0,12.0,500.0,503.0,1003.0,24.0,24.0,26.0
San Antonio Spurs,2010/11,0.7440000000000001,91.0,72.5,163.5,3.0,5.0,3.0,530.0,524.0,1054.0,16.0,21.0,20.0
Miami Heat,2010/11,0.7070000000000001,93.7,51.2,144.9,1.0,28.0,15.0,518.0,525.0,1043.0,21.0,20.0,23.0
Los Angeles Lakers,2010/11,0.695,86.7,61.9,148.6,7.0,18.0,14.0,523.0,524.0,1047.0,19.0,21.0,22.0
Dallas Mavericks,2010/11,0.695,89.1,60.2,149.3,5.0,20.0,13.0,522.0,533.0,1055.0,20.0,16.0,19.0
Boston Celtics,2010/11,0.6829999999999999,86.6,77.1,163.7,8.0,1.0,2.0,500.0,610.0,1110.0,24.0,2.0,4.0
Oklahoma City Thunder,2010/11,0.6709999999999999,91.7,60.7,152.4,2.0,19.0,7.0,532.0,546.0,1078.0,15.0,11.0,12.0
Orlando Magic,2010/11,0.634,84.2,59.5,143.7,13.0,22.0,17.0,507.0,517.0,1024.0,23.0,22.0,25.0
Denver Nuggets,2010/11,0.61,89.5,75.7,165.2,4.0,2.0,1.0,538.0,534.0,1072.0,12.0,15.0,15.0
Portland Trail Blazers,2010/11,0.585,83.0,70.1,153.1,16.0,8.0,6.0,540.0,531.0,1071.0,10.0,17.0,16.0
Memphis Grizzlies,2010/11,0.561,85.7,66.5,152.2,10.0,13.0,8.0,527.0,527.0,1054.0,17.0,19.0,20.0
New Orleans Hornets,2010/11,0.561,83.5,58.7,142.2,15.0,24.0,20.0,522.0,535.0,1057.0,20.0,14.0,18.0
Atlanta Hawks,2010/11,0.537,84.0,56.0,140.0,14.0,27.0,25.0,536.0,539.0,1075.0,13.0,13.0,13.0
Houston Rockets,2010/11,0.524,85.39999999999999,72.8,158.2,11.0,4.0,5.0,543.0,545.0,1088.0,9.0,12.0,11.0
New York Knicks,2010/11,0.512,84.4,75.5,159.9,12.0,3.0,4.0,550.0,551.0,1101.0,7.0,8.0,8.0
Philadelphia 76ers,2010/11,0.5,82.1,67.9,150.0,18.0,10.0,11.0,525.0,527.0,1052.0,18.0,19.0,21.0
Phoenix Suns,2010/11,0.488,82.7,68.8,151.5,17.0,9.0,9.0,551.0,553.0,1104.0,6.0,7.0,7.0
Utah Jazz,2010/11,0.476,86.80000000000001,49.7,136.5,6.0,29.0,26.0,552.0,554.0,1106.0,5.0,6.0,6.0
Indiana Pacers,2010/11,0.451,74.5,67.2,141.7,25.0,12.0,21.0,533.0,525.0,1058.0,14.0,20.0,17.0
Golden State Warriors,2010/11,0.439,85.7,57.2,142.9,10.0,25.0,19.0,559.0,550.0,1109.0,4.0,9.0,5.0
Milwaukee Bucks,2010/11,0.427,67.9,65.7,133.60000000000002,29.0,14.0,29.0,514.0,511.0,1025.0,22.0,23.0,24.0
Charlotte Bobcats,2010/11,0.415,72.2,72.0,144.2,27.0,7.0,16.0,544.0,530.0,1074.0,8.0,18.0,14.0
Los Angeles Clippers,2010/11,0.39,75.0,58.9,133.9,24.0,23.0,28.0,543.0,546.0,1089.0,9.0,11.0,10.0
Detroit Pistons,2010/11,0.366,78.8,72.2,151.0,20.0,6.0,10.0,563.0,556.0,1119.0,2.0,5.0,3.0
Sacramento Kings,2010/11,0.293,72.4,67.8,140.2,26.0,11.0,23.0,539.0,550.0,1089.0,11.0,9.0,10.0
New Jersey Nets,2010/11,0.293,72.10000000000001,57.1,129.20000000000002,28.0,26.0,30.0,552.0,548.0,1100.0,5.0,10.0,9.0
